label	country	location
GD-18	China	China
GD-19	China	China
GD-2	China	China
GD-20	China	China
GD-24	China	China
GD-26	China	China
GD-27	China	China
GD-29	China	China
GD-30	China	China
GD-31	China	China
GD-33	China	China
GD-35	China	China
GD-42	China	China
GD-43	China	China
GD-44	China	China
GD-45	China	China
GD-46	China	China
GD-48	China	China
GD-50	China	China
GD-51	China	China
GD-53	China	China
GD-54	China	China
GD-55	China	China
GD-57	China	China
GD-62	China	China
GD-65	China	China
GD-69	China	China
GD-72	China	China
GD-74	China	China
GD-75	China	China
GD-76	China	China
GD-80	China	China
GD-81	China	China
GD-82	China	China
GD-91	China	China
GD-92	China	China
GD-95	China	China
GD-JY-201	China	China
GD-MZ-238	China	China
GD-ST-101	China	China
GD-ST-98	China	China
GD-SZ-1	China	China
GD-SZ-228	China	China
GD-SZ-236	China	China
GD-SZ-237	China	China
GD-SZ-293	China	China
GD-SZ-294	China	China
GD-SZ-295	China	China
GD-SZ-296	China	China
GD-YJ-3	China	China
GD-YJ-307	China	China
GD-YJ-228	China	China
GD-YJ-338	China	China
GD-YJ-359	China	China
GD-YJ-364	China	China
GD-YJ-365	China	China
GD-YJ-366	China	China
GD-YJ-371	China	China
GD-YJ-379	China	China
GD-ZS-124	China	China
GD-ZS-162	China	China
GD-ZS-21	China	China
GD-ZS-2151	China	China
GD-ZS-2154	China	China
GD-ZS-704	China	China
GD-ZS-712	China	China
Guangdong-Guangzhou	China	China
Hangzhou	China	China
HuaiAn	China	HuaiAn
Huizhou	China	Huizhou
Quzhou	China	Quzhou
Shangdong-Linyi	China	China
Shandong-Taman	China	China
XinjiangBintuan	China	China
Zhangzhou	China	Zhangzhou
Prague	CzechRepublic	CzechRepublic
Denmark	Denmark	Denmark
Germany-NI	Germany	Germany
Germany-NW	Germany	Germany
Heinersdorf	Germany	Germany
Jena	Germany	Germany
Leipzig	Germany	Germany
Italy12rs206-2	Italy	Italy
Aichi	Japan	Japan
Akita	Japan	Japan
Aomori	Japan	Japan
Gunma	Japan	Japan
Iwate	Japan	Japan
Miyagi	Japan	Japan
Tochigi	Japan	Japan
Tsukuba	Japan	Japan
Kirgiziya	Japan	Japan
Guanajuato	Mexico	Mexico
Jalisco	Mexico	Mexico
Puebla	Mexico	Mexico
Montana	Mongolia	Mongolia
Neth	Netherlands	Netherlands
NL-Barneveld	Netherlands	Netherlands
New-Zealand	NewZealand	NewZealand
Chakwal	Pakistan	Pakistan
Rawalpindi	Pakistan	Pakistan
Peru-PV72	Peru	Peru
Guatemala	RepublicOfGuatemala	RepublicOfGuatemala
Singapore	Singapore	Singapore
Slovenia	Slovenia	Slovenia
South-Africa	SouthAfrica	SoutheAfrica
Shihwa	SouthKorea	SouthKorea
Hadoree	SouthKorea	SouthKorea
KU	SouthKorea	SouthKorea
Nakdonggang	SouthKorea	SouthKorea
Spain	Spain	Spain
Cambridge	UnitedKingdom	UnitedKingdom
England-Q	UnitedKingdom	UnitedKingdom
London	UnitedKingdom	UnitedKingdom
Newmarket	UnitedKingdom	UnitedKingdom
Northern-Ireland	UnitedKingdom	UnitedKingdom
Gloucestershire	UnitedKingdom	UnitedKingdom
Askania-Nova	Ukraine	Ukraine
Crimea	Ukraine	Ukraine
Nizhnegorsk	Ukraine	Ukraine
Novomyhalivka	Ukraine	Ukraine
C.Detroit	UnitedStates	UnitedStates
Cornell	UnitedStates	UnitedStates
CT	UnitedStates	UnitedStates
Detroit	UnitedStates	UnitedStates
FL	UnitedStates	UnitedStates
Delaware-Bay	UnitedStates	UnitedStates
PA	UnitedStates	UnitedStates
Rhode-Island	UnitedStates	UnitedStates
South-Dakota	UnitedStates	SouthDakota
Southcentral-Alaska	UnitedStates	UnitedStates
Tennessee	UnitedStates	Tennessee
VA	UnitedStates	Virginia
West-Virginia	UnitedStates	Virginia
Wyoming	UnitedStates	UnitedStates
Uruguay	Uruguay	Uruguay
Zimbabwe	Zimbabwe	Zimbabwe
Turkey	Turkey	Turkey
Potsdam	Germany	Germany
SK	Canada	Canada
Murree	Pakistan	Pakistan
Unknown	Unknown	Unknown
DK	Denmark	Denmark
GER	Germany	Germany
NSW-Sydney	Australia	Australia
SYDNEY	Australia	Australia
Ukraine	Ukraine	Ukraine
NL	UnitedStates	UnitedStates
Hampshire	UnitedKingdom	UnitedKingdom
Indonesia	Indonesia	Indonesia
Mie	Japan	Japan
GA	UnitedStates	UnitedStates
Jiangxi_Donghu	China	Jiangxi
Bavaria	Germany	Germany
Camargue	France	France
